Beverage_category,Beverage,Beverage_prep,size,kind,Calories,total_fat,trans_fat,saturated_fat,sodium,total_carbo,cholesterol,sugars,protein,vitA,vitC,calcium,iron,caffeine
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),2% Milk,venti,coffee,380,11,6,0.3,35,200,63,54,17,25%,2%,50%,30%,30
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Soymilk,venti,coffee,330,9,2.5,0,0,160,55,44,15,15%,0%,50%,50%,30
Signature Espresso Drinks,Caramel Apple Spice (Without Whipped Cream),Short,short,coffee,140,0,0,0,0,10,35,33,0,0%,0%,0%,0%,0
Signature Espresso Drinks,Caramel Apple Spice (Without Whipped Cream),Tall,tall,coffee,210,0,0,0,0,15,53,49,0,0%,0%,0%,0%,0
Signature Espresso Drinks,Caramel Apple Spice (Without Whipped Cream),Grande,grande,coffee,280,0,0,0,0,20,70,65,0,0%,0%,0%,0%,0
Signature Espresso Drinks,Caramel Apple Spice (Without Whipped Cream),Venti,venti,coffee,360,0,0,0,0,25,89,83,0,0%,0%,0%,0%,0
Tazo Tea Drinks,Tazo Tea,Short,short,tea,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,Varies
Tazo Tea Drinks,Tazo Tea,Tall,tall,tea,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,Varies
Tazo Tea Drinks,Tazo Tea,Grande,grande,tea,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,Varies
Tazo Tea Drinks,Tazo Tea,Venti,venti,tea,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,Varies
Tazo Tea Drinks,Tazo Chai Tea Latte,Short Nonfat Milk,short,tea,100,0.1,0.1,0,0,50,22,21,4,6%,0%,10%,0%,50
Tazo Tea Drinks,Tazo Chai Tea Latte,2% Milk,short,tea,120,2,1,0.1,10,55,22,21,4,6%,0%,10%,0%,50
Tazo Tea Drinks,Tazo Chai Tea Latte,Soymilk,short,tea,110,1.5,0.2,0,0,45,20,18,3,4%,0%,10%,6%,50
Tazo Tea Drinks,Tazo Chai Tea Latte,Tall Nonfat Milk,tall,tea,160,0.2,0.1,0,5,80,34,32,6,10%,0%,20%,2%,70
Tazo Tea Drinks,Tazo Chai Tea Latte,2% Milk,tall,tea,190,3.5,1.5,0.1,15,90,34,32,6,10%,0%,20%,2%,70
Tazo Tea Drinks,Tazo Chai Tea Latte,Soymilk,tall,tea,160,2.5,0.3,0,0,70,31,28,5,6%,0%,20%,10%,70
Tazo Tea Drinks,Tazo Chai Tea Latte,Grande Nonfat Milk,grande,tea,210,0.2,0.1,0,5,105,45,43,8,15%,0%,25%,2%,95
Tazo Tea Drinks,Tazo Chai Tea Latte,2% Milk,grande,tea,240,4.5,2,0.1,20,115,45,42,8,10%,0%,25%,2%,95
Tazo Tea Drinks,Tazo Chai Tea Latte,Soymilk,grande,tea,220,3.5,0.4,0,0,90,41,37,6,8%,0%,25%,10%,95
Tazo Tea Drinks,Tazo Chai Tea Latte,Venti Nonfat Milk,venti,tea,260,0.3,0.2,0,5,135,57,54,10,15%,0%,35%,2%,120
Tazo Tea Drinks,Tazo Chai Tea Latte,2% Milk,venti,tea,310,6,3,0.2,25,150,56,53,10,15%,2%,30%,2%,120
Tazo Tea Drinks,Tazo Chai Tea Latte,Soymilk,venti,tea,280,4.5,0.5,0,0,115,51,46,8,10%,0%,30%,15%,120
Tazo Tea Drinks,Tazo Green Tea Latte,Short Nonfat Milk,short,tea,130,0.2,0.1,0,5,85,26,25,7,10%,4%,20%,2%,25
Tazo Tea Drinks,Tazo Green Tea Latte,2% Milk,short,tea,170,4,2,0.1,15,95,26,25,7,10%,6%,20%,2%,25
Tazo Tea Drinks,Tazo Green Tea Latte,Soymilk,short,tea,140,3,0.4,0,0,70,22,20,6,8%,4%,20%,10%,25
Tazo Tea Drinks,Tazo Green Tea Latte,Tall Nonfat Milk,tall,tea,210,0.4,0.2,0,5,125,42,41,11,20%,10%,35%,4%,55
Tazo Tea Drinks,Tazo Green Tea Latte,2% Milk,tall,tea,260,6,3,0.2,25,140,41,40,10,15%,10%,35%,4%,55
Tazo Tea Drinks,Tazo Green Tea Latte,Soymilk,tall,tea,230,4.5,0.5,0,0,110,36,33,9,10%,10%,35%,15%,55
Tazo Tea Drinks,Tazo Green Tea Latte,Grande Nonfat Milk,grande,tea,290,0.5,0.2,0,10,160,57,56,14,25%,15%,45%,4%,80
Tazo Tea Drinks,Tazo Green Tea Latte,2% Milk,grande,tea,350,8,4,0.2,30,180,57,55,14,20%,15%,45%,4%,80
Tazo Tea Drinks,Tazo Green Tea Latte,Soymilk,grande,tea,310,6,1,0,0,140,50,46,11,15%,15%,45%,25%,80
Tazo Tea Drinks,Tazo Green Tea Latte,Venti Nonfat Milk,venti,tea,370,0.5,0.3,0,10,200,73,71,18,30%,20%,60%,6%,110
Tazo Tea Drinks,Tazo Green Tea Latte,2% Milk,venti,tea,450,10,5,0.3,40,230,72,71,17,25%,20%,50%,6%,110
Tazo Tea Drinks,Tazo Green Tea Latte,Soymilk,venti,tea,390,8,1,0,0,180,64,58,14,20%,20%,60%,30%,110
Tazo Tea Drinks,Tazo Full-Leaf Tea Latte,Short Nonfat Milk,short,tea,80,0.1,0.1,0,0,45,16,16,4,6%,0%,10%,0.00%,varies
Tazo Tea Drinks,Tazo Full-Leaf Tea Latte,2% Milk,short,tea,90,2,1,0.1,10,50,15,15,3,6%,0%,10%,0.00%,varies
Tazo Tea Drinks,Tazo Full-Leaf Tea Latte,Soymilk,short,tea,80,1.5,0.2,0,0,40,14,13,3,4%,0%,10%,6.00%,varies
Tazo Tea Drinks,Tazo Full-Leaf Tea Latte,Tall Nonfat Milk,tall,tea,120,0.1,0.1,0,5,65,23,23,5,10%,0%,20%,0.00%,varies
Tazo Tea Drinks,Tazo Full-Leaf Tea Latte,2% Milk,tall,tea,140,3,1.5,0.1,15,75,23,23,5,8%,0%,15%,0.00%,varies
Tazo Tea Drinks,Tazo Full-Leaf Tea Latte,Soymilk,tall,tea,130,2.5,0.3,0,0,60,21,19,4,6%,0%,20%,8.00%,varies
Tazo Tea Drinks,Tazo Full-Leaf Tea Latte,Grande Nonfat Milk,grande,tea,150,0.2,0.1,0,5,85,31,31,7,15%,0%,25%,0.00%,varies
Tazo Tea Drinks,Tazo Full-Leaf Tea Latte,2% Milk,grande,tea,190,4,2,0.1,15,95,31,30,7,10%,0%,25%,0.00%,varies
Tazo Tea Drinks,Tazo Full-Leaf Tea Latte,Soymilk,grande,tea,170,3.5,0.4,0,0,80,27,25,6,8%,0%,25%,10.00%,varies
Tazo Tea Drinks,Tazo Full-Leaf Tea Latte,Venti Nonfat Milk,venti,tea,190,0.2,0.1,0,5,110,39,39,9,15%,0%,30%,0.00%,varies
Tazo Tea Drinks,Tazo Full-Leaf Tea Latte,2% Milk,venti,tea,230,5,2.5,0.2,20,125,38,38,9,15%,0%,30%,0.00%,varies
Tazo Tea Drinks,Tazo Full-Leaf Tea Latte,Soymilk,venti,tea,210,4,0.5,0,0,100,34,32,7,10%,0%,30%,15.00%,varies
Tazo Tea Drinks,Tazo Full-Leaf Red Tea Latte (Vanilla Rooibos),Short Nonfat Milk,short,tea,80,0.1,0.1,0,0,45,16,16,4,6%,0%,10%,0%,0
Tazo Tea Drinks,Tazo Full-Leaf Red Tea Latte (Vanilla Rooibos),2% Milk,short,tea,90,2,1,0.1,10,50,15,15,3,6%,0%,10%,0%,0
Tazo Tea Drinks,Tazo Full-Leaf Red Tea Latte (Vanilla Rooibos),Soymilk,short,tea,80,1.5,0.2,0,0,40,14,13,3,4%,0%,10%,6%,0
Tazo Tea Drinks,Tazo Full-Leaf Red Tea Latte (Vanilla Rooibos),Tall Nonfat Milk,tall,tea,120,0.1,0.1,0,5,65,23,23,5,10%,0%,20%,0%,0
Tazo Tea Drinks,Tazo Full-Leaf Red Tea Latte (Vanilla Rooibos),2% Milk,tall,tea,140,3,1.5,0.1,15,75,23,23,5,8%,0%,15%,0%,0
Tazo Tea Drinks,Tazo Full-Leaf Red Tea Latte (Vanilla Rooibos),Soymilk,tall,tea,130,2.5,0.3,0,0,60,21,19,4,6%,0%,20%,8%,0
Tazo Tea Drinks,Tazo Full-Leaf Red Tea Latte (Vanilla Rooibos),Grande Nonfat Milk,grande,tea,150,0.2,0.1,0,5,85,31,31,7,15%,0%,25%,0%,0
Tazo Tea Drinks,Tazo Full-Leaf Red Tea Latte (Vanilla Rooibos),2% Milk,grande,tea,190,4,2,0.1,15,95,31,30,7,10%,0%,25%,0%,0
Tazo Tea Drinks,Tazo Full-Leaf Red Tea Latte (Vanilla Rooibos),Soymilk,grande,tea,170,3.5,0.4,0,0,80,27,25,6,8%,0%,25%,10%,0
Tazo Tea Drinks,Tazo Full-Leaf Red Tea Latte (Vanilla Rooibos),Venti Nonfat Milk,venti,tea,190,0.2,0.1,0,5,110,39,39,9,15%,0%,30%,0%,0
Tazo Tea Drinks,Tazo Full-Leaf Red Tea Latte (Vanilla Rooibos),2% Milk,venti,tea,230,5,2.5,0.2,20,125,38,38,9,15%,0%,30%,0%,0
Tazo Tea Drinks,Tazo Full-Leaf Red Tea Latte (Vanilla Rooibos),Soymilk,venti,coffee,210,4,0.5,0,0,100,34,32,7,10%,0%,30%,15%,0
Shaken Iced Beverages,Iced Brewed Coffee (With Classic Syrup),Tall,tall,coffee,60,0,0,0,0,4,15,15,0.2,0%,0%,0%,0%,120
Shaken Iced Beverages,Iced Brewed Coffee (With Classic Syrup),Grande,grande,coffee,90,0.1,0,0,0,5,21,21,0.3,0%,0%,0%,0%,165
Shaken Iced Beverages,Iced Brewed Coffee (With Classic Syrup),Venti,venti,coffee,130,0.1,0,0,0,5,31,31,0.4,0%,0%,0%,0%,235
Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Tall Nonfat Milk,tall,coffee,80,0.1,0,0,0,25,18,18,2,2%,0%,6%,0%,90
Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),2% Milk,tall,coffee,90,1,0.5,0,5,25,18,18,2,2%,0%,6%,0.00%,
Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Soymilk,tall,coffee,80,1,0.1,0,0,20,17,17,2,2%,0%,6%,0%,90
Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Grande Nonfat Milk,grande,coffee,110,0.1,0,0,0,30,24,24,2,4%,0%,8%,2%,90
Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),2% Milk,grande,coffee,120,1.5,0.5,0,5,35,24,24,2,4%,0%,8%,0%,125
Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Soymilk,grande,coffee,110,1,0.1,0,0,30,23,22,2,2%,0%,8%,0%,125
Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Venti Nonfat Milk,venti,coffee,160,0.1,0.1,0,0,50,36,36,4,6%,0%,10%,4%,125
